ID,Politician_Similarity,Gender,Age,Affiliation,Study Purpose,Attention_Check1,Attention_Check2,condition,proclamation,advisor,h1,h2,h3,h4,h5,m1,m2,m3,d1,g1,imm,vote
1,not really. don't trust any of them,Male,30,Other,How I think about a politics,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,4,4,4,4,4,4,4,4,3,3,4,5
2,Ted Cruz,Male,38,Democrat,no idea,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,7,7,7,1,1,1,7,7,7,1
3,"Yes, I feel most politicians are not entirely truthful, especially when it comes to contributions",Female,26,Democrat,To see how people evaluate lying.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,5,5,3,6,3,3,2,4,2,3,2
4,all republicans,Male,55,Democrat,consumer perceptions ,,"Yes, he did lie about his campaign contributions.",5,control,no,7,7,7,7,7,1,1,1,7,7,7,1
5,"None in particular, just a lib dem like Pete Buttegudge",Male,26,Democrat,Perceptions of politicans,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,7,7,7,7,7,3,3,3,4,5,6,6
6,All of them.,Male,40,Democrat,To see how I feel about lying politicians.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,6,6,6,7,4,4,4,4,4,5,3
7,YES IT BRINGS ABOUT THE THOUGHT THAT MOST POLITICIANS LIE AND CONNAOT BE TRUSTED,Female,34,Democrat,TO SEE HOW DEDICATED TO OUR PARTY WE ARE IN THE FACE OF LIES,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,7,7,6,7,2,2,2,6,5,4,2
8,donald trump,Male,42,Democrat,idk,,"Yes, he did lie about his campaign contributions.",5,control,no,7,6,6,6,7,5,6,6,5,6,4,6
9,trump,Male,34,Democrat,not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,7,6,7,6,1,1,1,6,6,7,1
10,"Not sure, many",Male,26,Other,determine how okay people are with dishonest candidates that are honest ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,3,3,3,3,3,3,3,3,3,3,3,3
11,Trump,Female,33,Democrat,To test out our personal ethics,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,6,6,5,5,2,2,2,5,5,5,2
12,no,Female,35,Democrat,not sure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,6,6,6,2,2,2,6,6,6,2
13,trump,Female,33,Democrat,no idea!,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,5,4,6,7,1,1,1,1,5,5,6,2
14,No.,Male,27,Democrat,To find out what people think about politicians.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,4,4,4,4,4,2,2,2,4,7,6,2
15,No,Male,50,Democrat,No idea,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,7,7,7,1,1,1,6,6,7,2
16,no,Male,34,Democrat,To see if I would still trust a politician if they were caught in any kind of lie.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,6,3,4,6,4,3,4,5,6,4,5
17,just about all of them,Male,47,Other,degree of lying and how acceptable it is,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,7,6,6,6,5,2,2,1,6,6,6,1
18,no,Female,30,Democrat,I'm not sure.,,"Yes, he did lie about his campaign contributions.",5,control,no,5,6,5,5,6,2,2,2,4,4,4,3
19,none that I can think of,Male,34,Democrat,I am not too sure,,"Yes, he did lie about his campaign contributions.",5,control,no,7,7,6,6,4,1,1,2,5,4,7,1
20,I thought of no politicans when thinking of Matthew Johnson.,Male,32,Democrat,To see what people think of the lies of a politician,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,4,4,4,4,5,4,4,4,3,3,6,5
21,Trump or Lindsey Graham,Male,50,Republican,acceptability of lying,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,6,7,6,6,2,2,2,6,7,5,3
22,no,Male,33,Republican,to trick people into thinking there was a game with a shitty survey,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,1,1,1,1,1,6,6,6,2,2,6,7
23,All politicians,Female,25,Other,Perception of good values with bad actions,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,5,6,6,5,2,2,2,6,4,5,2
24,All politicians in general,Male,30,Republican,To determine if people vote based on ethics vs party line.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,4,6,6,7,2,2,2,6,6,6,6
25,"yes, our current leadership in the higher government cabinet",Male,51,Democrat,To assess moral and ethical considerations when voting,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,5,5,6,2,2,2,4,4,6,2
26,The description did not bring any particular politicians to mind.,Female,38,Democrat,I'm unsure what this study was about. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,3,3,4,5,3,2,3,2,6,6,5,2
27,Trump,Female,40,Other,To see how we view political candidates in terms of their honesty.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,4,5,5,5,5,3,3,3,4,4,4,2
28,no,Female,56,Democrat,morality,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,4,5,4,6,5,4,5,4,6,5,4
29,no,Male,34,Democrat,not sure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,6,5,5,7,3,4,4,4,4,3,4
30,Elizabeth Warren,Male,35,Other,How 1 lie affects my willingness to vote for a candidate ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,6,6,6,6,2,2,2,4,4,2,2
